llm_name,metadata_format,processing_stage,url,domain,provider,name,metadata_field,findability,annot_missing,value_annot,value_pred,rouge,levenshtein,manual_score
GPT4,LTER-LIFE,Pre,https://stac.ecodatacube.eu/green_glad.landsat.ard2.seasconv.m.yearly/collection.json,ac.ecodatacube.eu,EcoDataCube,Cloud-free reconstructed Landsat yearly green band (EcoDataCube),Data contact point,1,False,"Leandro Parente, leandro.parente@opengeohub.org",EcoDataCube; The data contact point is Leandro Parente with the email leandro.parente@opengeohub.org.,0.5714285714285715,0.4554455445544554,-1
GPT4,LTER-LIFE,Pre,https://stac.ecodatacube.eu/ndvi_glad.landsat.ard2.seasconv/collection.json?.language=en,ac.ecodatacube.eu,EcoDataCube,Cloud-free reconstructed Landsat bimonthly NDVI (EcoDataCube),Data contact point,1,False,"Xuemeng Tian, xuemeng.tian@opengeohub.org",STAC Browser 3.3.4; The data contact point is represented by the string 'STAC Browser 3.3.4'.,0.0,0.15053763440860213,-1
GPT4,LTER-LIFE,Pre,https://stac.ecodatacube.eu/veg_quercus.robur_anv.eml/collection.json?.language=en,ac.ecodatacube.eu,EcoDataCube,Actual probability distribution for Quercus robur (EcoDataCube),Data contact point,1,False,"Carmelo Bonannella, carmelo.bonannella@opengeohub.org",EcoDataCube; The data contact point is Carmelo Bonannella (carmelo.bonannella@opengeohub.org).,0.6666666666666666,0.5425531914893618,-1
GPT4,LTER-LIFE,Pre,https://www.gbif.org/dataset/4fa7b334-ce0d-4e88-aaae-2e0c138d049e,gbif.org,GBIF,eBird observation dataset (GBIF),Data contact point,1,False,"Auer T Barker S Barry J Charnoky M Curtis J Davies I Davis C Downie I Fink D Fredericks T Ganger J Gerbracht J Hanks C Hochachka W Iliff M Imani J Jordan A Levatich T Ligocki S Long M T Morris W Morrow S Oldham L Padilla Obregon F Robinson O Rodewald A Ruiz-Gutierrez V Schloss M Smith A Smith J Stillman A Strimas-Mackey M Sullivan B Weber D Wolf H Wood C, ebird@cornell.edu",Jasdev Imani; Administrative point of contact at Cornell Lab of Ornithology.,0.044444444444444446,0.128,-1
GPT4,LTER-LIFE,Pre,https://www.gbif.org/dataset/74196cd9-7ebc-4b20-bc27-3c2d22e31ed7,gbif.org,GBIF,Waterleidingduinen camera trap P1 (GBIF),Data contact point,1,False,"Julian Evans, jevansbio@gmail.com, Rotem Zilber, r.kadanzilber@uva.nl, W. Daniel Kissling, wdkissling@gmail.com","Camera trap data recorded during pilot studies in the Amsterdamse Waterleidingduinen - pilot 1; The data contact points are Julian Evans (jevansbio@gmail.com), Rotem Zilber (r.kadanzilber@uva.nl), and W. Daniel Kissling (wdkissling@gmail.com)",0.6415094339622641,0.43388429752066116,-1
GPT4,LTER-LIFE,Pre,https://www.gbif.org/dataset/f9ba3c2e-0636-4f66-a4b5-b8c138046e9e,gbif.org,GBIF,Waterleidingduinen camera trap P2 (GBIF),Data contact point,1,False,"Julian Evans, jevansbio@gmail.com, Rotem Zilber, r.kadanzilber@uva.nl, W. Daniel Kissling, wdkissling@gmail.com","Julian Evans, Rotem Zilber, W. Daniel Kissling; The contact points for the dataset",0.4666666666666667,0.3513513513513513,-1
GPT4,LTER-LIFE,Pre,https://www.gbif.org/dataset/bc0acb9a-131f-4085-93ae-a46e08564ac5,gbif.org,GBIF,Waterleidingduinen camera trap P3 (GBIF),Data contact point,1,False,"Julian Evans, jevansbio@gmail.com, Rotem Zilber, r.kadanzilber@uva.nl, W. Daniel Kissling, wdkissling@gmail.com","Camera trap data recorded during pilot studies in the Amsterdamse Waterleidingduinen - pilot 3; The data contact points are Julian Evans, Rotem Zilber, and W. Daniel Kissling from the University of Amsterdam.",0.29166666666666663,0.2451923076923077,-1
GPT4,LTER-LIFE,Pre,https://zenodo.org/records/11440456,zenodo.org,Zenodo,Waterleidingduinen camera trap P1-3 (Zenodo),Data contact point,1,False,"Kissling, W. Daniel",Repository of camera trap data recorded during three pilot studies of the Amsterdamse Waterleidingduinen; The data contact point is W. Daniel Kissling,0.16,0.11333333333333329,-1
GPT4,LTER-LIFE,Pre,https://zenodo.org/records/8319440,zenodo.org,Zenodo,Downscaled LUH2 land use scenarios for Belgium (Zenodo),Data contact point,0,True,N/A,High spatial resolution dataset of downscaled LUH2 land use scenarios for Belgium (10 m and 100 m); The data contact point is not explicitly mentioned in the text,0.0,0.0,-1
GPT4,LTER-LIFE,Pre,https://datahuiswadden.openearth.nl/geonetwork/srv/api/records/A0h06_NlSEuNlium5OO3FA,datahuiswadden.openearth.nl,Datahuis Wadden,Ecotopenkaart 2016 (Datahuis Wadden),Data creator,1,False,Wageningen Marine Research,Wageningen Marine Research; Wageningen Marine Research is the creator of the data.,0.4,0.31707317073170727,-1
GPT4,LTER-LIFE,Pre,https://datahuiswadden.openearth.nl/geonetwork/srv/eng/catalog.search#/metadata/0fe7e64b-50b3-4cee-b64a-02659fc2b6c7,datahuiswadden.openearth.nl,Datahuis Wadden,Waddenbalans 2024 (Datahuis Wadden),Data creator,2,False,Het Pon & Telos,Het PON & Telos; Het PON & Telos is the organization that created the Waddenbalans 2024.,0.35294117647058826,0.15909090909090906,-1
GPT4,LTER-LIFE,Pre,https://datahuiswadden.openearth.nl/geonetwork/srv/eng/catalog.search#/metadata/L-mHomzGRuKAHGMkUPjY9g,datahuiswadden.openearth.nl,Datahuis Wadden,Ecotopenkaart 2017 (Datahuis Wadden),Data creator,2,False,Rijkswaterstaat,Rijkswaterstaat; The data creator for the dataset is 'Rijkswaterstaat'.,0.19999999999999998,0.21126760563380287,-1
GPT4,LTER-LIFE,Pre,https://developers.google.com/earth-engine/datasets/catalog/NASA_HLS_HLSS30_v002,developers.google.com,Google Earth Engine,Harmonized Landsat Sentinel-2 (Google Earth Engine),Data creator,2,False,NASA LP DAAC,Earth Engine; Earth Engine is the creator of the dataset.,0.0,0.03508771929824561,-1
GPT4,LTER-LIFE,Pre,https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-2bd-kskz,lifesciences.datastations.nl,DANS Datastations,Dutch forest reserves database and network (DANS),Data creator,1,False,"R.J. Bijlsma (Wageningen Environmental Research, Wageningen University & Research) and A.P.P.M. Clerkx (Wageningen Environmental Research, Wageningen University & Research)",Dutch forest reserves database and network; The data creators are R.J. Bijlsma and A.P.P.M. Clerkx.,0.45,0.20348837209302328,-1
GPT4,LTER-LIFE,Pre,https://lpdaac.usgs.gov/products/mod09a1v061/,lpdaac.usgs.gov,LP DAAC,MODIS Terra MOD09A1 Version 6.1 (LP DAAC),Data creator,2,False,Eric Vermote,LP DAAC - MOD09A1; The data creator is Eric Vermote.,0.3636363636363636,0.23076923076923073,-1
GPT4,LTER-LIFE,Pre,https://stac.ecodatacube.eu/blue_glad.landsat.ard2.seasconv.m.yearly/collection.json,ac.ecodatacube.eu,EcoDataCube,Cloud-free reconstructed Landsat yearly blue band (EcoDataCube),Data creator,2,False,Leandro Parente,EcoDataCube; Not specified in the text,0.0,0.1842105263157895,-1
GPT4,LTER-LIFE,Pre,https://stac.ecodatacube.eu/green_glad.landsat.ard2.seasconv.m.yearly/collection.json,ac.ecodatacube.eu,EcoDataCube,Cloud-free reconstructed Landsat yearly green band (EcoDataCube),Data creator,2,False,Leandro Parente,EcoDataCube; The data creator is not explicitly mentioned in the text.,0.0,0.12857142857142856,-1
GPT4,LTER-LIFE,Pre,https://stac.ecodatacube.eu/ndvi_glad.landsat.ard2.seasconv/collection.json?.language=en,ac.ecodatacube.eu,EcoDataCube,Cloud-free reconstructed Landsat bimonthly NDVI (EcoDataCube),Data creator,2,False,Xuemeng Tian,STAC Browser 3.3.4; The data creator is represented by the string 'STAC Browser 3.3.4'.,0.0,0.06896551724137934,-1
GPT4,LTER-LIFE,Pre,https://stac.ecodatacube.eu/veg_quercus.robur_anv.eml/collection.json?.language=en,ac.ecodatacube.eu,EcoDataCube,Actual probability distribution for Quercus robur (EcoDataCube),Data creator,2,False,Carmelo Bonannella,EcoDataCube; The data creator is not explicitly mentioned in the text.,0.0,0.1428571428571429,-1
GPT4,LTER-LIFE,Pre,https://www.gbif.org/dataset/4fa7b334-ce0d-4e88-aaae-2e0c138d049e,gbif.org,GBIF,eBird observation dataset (GBIF),Data creator,1,False,Auer T Barker S Barry J Charnoky M Curtis J Davies I Davis C Downie I Fink D Fredericks T Ganger J Gerbracht J Hanks C Hochachka W Iliff M Imani J Jordan A Levatich T Ligocki S Long M T Morris W Morrow S Oldham L Padilla Obregon F Robinson O Rodewald A Ruiz-Gutierrez V Schloss M Smith A Smith J Stillman A Strimas-Mackey M Sullivan B Weber D Wolf H Wood C,Christopher Wood; Director of eBird and Engineering at Cornell Lab of Ornithology.,0.022727272727272728,0.1376404494382022,-1
GPT4,LTER-LIFE,Pre,https://www.gbif.org/dataset/74196cd9-7ebc-4b20-bc27-3c2d22e31ed7,gbif.org,GBIF,Waterleidingduinen camera trap P1 (GBIF),Data creator,1,False,Evans J Zilber R Kissling W D,"Camera trap data recorded during pilot studies in the Amsterdamse Waterleidingduinen - pilot 1; The data creators are Julian Evans, Rotem Zilber, and W. Daniel Kissling from the University of Amsterdam",0.16216216216216217,0.12437810945273631,-1
GPT4,LTER-LIFE,Pre,https://www.gbif.org/dataset/f9ba3c2e-0636-4f66-a4b5-b8c138046e9e,gbif.org,GBIF,Waterleidingduinen camera trap P2 (GBIF),Data creator,1,False,Evans J Zilber R Kissling W D,"Julian Evans, Rotem Zilber, W. Daniel Kissling; The creators of the dataset",0.3157894736842105,0.33333333333333337,-1
GPT4,LTER-LIFE,Pre,https://www.gbif.org/dataset/bc0acb9a-131f-4085-93ae-a46e08564ac5,gbif.org,GBIF,Waterleidingduinen camera trap P3 (GBIF),Data creator,1,False,Evans J Zilber R Kissling W D,"Camera trap data recorded during pilot studies in the Amsterdamse Waterleidingduinen - pilot 3; The data creators are Julian Evans, Rotem Zilber, and W. Daniel Kissling from the University of Amsterdam.",0.16216216216216217,0.12376237623762376,-1
GPT4,LTER-LIFE,Pre,https://zenodo.org/records/11440456,zenodo.org,Zenodo,Waterleidingduinen camera trap P1-3 (Zenodo),Data creator,1,False,"Evans, Julian C. and Zilber, Rotem and Kissling, W. Daniel","Repository of camera trap data recorded during three pilot studies of the Amsterdamse Waterleidingduinen; The data creators are Julian C. Evans (Data curator), Rotem Zilber (Data collector), and W. Daniel Kissling (Contact person)",0.27906976744186046,0.17826086956521736,-1
GPT4,LTER-LIFE,Pre,https://zenodo.org/records/8319440,zenodo.org,Zenodo,Downscaled LUH2 land use scenarios for Belgium (Zenodo),Data creator,1,False,"Parinaz Rashidi, Sopan D. Patil, Aafke M. Schipper, Rob Alkemade, Isabel Rosa","High spatial resolution dataset of downscaled LUH2 land use scenarios for Belgium (10 m and 100 m); The creators of the data are Parinaz Rashidi, Sopan D. Patil, Aafke M. Schipper, Rob Alkemade, Isabel Rosa",0.5106382978723404,0.37378640776699024,-1
GPT4,LTER-LIFE,Pre,https://datahuiswadden.openearth.nl/geonetwork/srv/api/records/A0h06_NlSEuNlium5OO3FA,datahuiswadden.openearth.nl,Datahuis Wadden,Ecotopenkaart 2016 (Datahuis Wadden),Data publisher,1,False,Datahuis Wadden,Wageningen Marine Research; Wageningen Marine Research is the publisher of the data.,0.0,0.09523809523809523,-1
GPT4,LTER-LIFE,Pre,https://datahuiswadden.openearth.nl/geonetwork/srv/eng/catalog.search#/metadata/0fe7e64b-50b3-4cee-b64a-02659fc2b6c7,datahuiswadden.openearth.nl,Datahuis Wadden,Waddenbalans 2024 (Datahuis Wadden),Data publisher,1,False,Datahuis Wadden,Het PON & Telos; Het PON & Telos is the publisher of the Waddenbalans 2024.,0.0,0.16000000000000003,-1
GPT4,LTER-LIFE,Pre,https://datahuiswadden.openearth.nl/geonetwork/srv/eng/catalog.search#/metadata/L-mHomzGRuKAHGMkUPjY9g,datahuiswadden.openearth.nl,Datahuis Wadden,Ecotopenkaart 2017 (Datahuis Wadden),Data publisher,2,False,Datahuis Wadden,Rijkswaterstaat; The data publisher for the dataset is 'Rijkswaterstaat'.,0.0,0.136986301369863,-1
GPT4,LTER-LIFE,Pre,https://developers.google.com/earth-engine/datasets/catalog/NASA_HLS_HLSS30_v002,developers.google.com,Google Earth Engine,Harmonized Landsat Sentinel-2 (Google Earth Engine),Data publisher,1,False,NASA LP DAAC and Google Earth Engine,NASA LP DAAC; NASA LP DAAC is the publisher of the dataset.,0.3157894736842105,0.35593220338983056,-1
GPT4,LTER-LIFE,Pre,https://lifesciences.datastations.nl/dataset.xhtml?persistentId=doi:10.17026/dans-2bd-kskz,lifesciences.datastations.nl,DANS Datastations,Dutch forest reserves database and network (DANS),Data publisher,1,False,Wageningen University & Research,Dutch forest reserves database and network; The data publisher is DANS Data Station Life Sciences.,0.0,0.15306122448979587,-1
GPT4,LTER-LIFE,Pre,https://lpdaac.usgs.gov/products/mod09a1v061/,lpdaac.usgs.gov,LP DAAC,MODIS Terra MOD09A1 Version 6.1 (LP DAAC),Data publisher,2,False,LP DAAC,LP DAAC - MOD09A1; The data publisher is LP DAAC.,0.3636363636363636,0.1428571428571429,-1
GPT4,LTER-LIFE,Pre,https://stac.ecodatacube.eu/blue_glad.landsat.ard2.seasconv.m.yearly/collection.json,ac.ecodatacube.eu,EcoDataCube,Cloud-free reconstructed Landsat yearly blue band (EcoDataCube),Data publisher,2,False,opengeohub,EcoDataCube; Not specified in the text,0.0,0.13157894736842102,-1
GPT4,LTER-LIFE,Pre,https://stac.ecodatacube.eu/green_glad.landsat.ard2.seasconv.m.yearly/collection.json,ac.ecodatacube.eu,EcoDataCube,Cloud-free reconstructed Landsat yearly green band (EcoDataCube),Data publisher,2,False,opengeohub,EcoDataCube; The data publisher is 'opengeohub'.,0.2857142857142857,0.20833333333333337,-1
GPT4,LTER-LIFE,Pre,https://stac.ecodatacube.eu/ndvi_glad.landsat.ard2.seasconv/collection.json?.language=en,ac.ecodatacube.eu,EcoDataCube,Cloud-free reconstructed Landsat bimonthly NDVI (EcoDataCube),Data publisher,2,False,opengeohub,STAC Browser 3.3.4; The data publisher is represented by the string 'STAC Browser 3.3.4'.,0.0,0.0674157303370787,-1
GPT4,LTER-LIFE,Pre,https://stac.ecodatacube.eu/veg_quercus.robur_anv.eml/collection.json?.language=en,ac.ecodatacube.eu,EcoDataCube,Actual probability distribution for Quercus robur (EcoDataCube),Data publisher,2,False,opengeohub,EcoDataCube; The data publisher is opengeohub.,0.2857142857142857,0.21739130434782605,-1
GPT4,LTER-LIFE,Pre,https://www.gbif.org/dataset/4fa7b334-ce0d-4e88-aaae-2e0c138d049e,gbif.org,GBIF,eBird observation dataset (GBIF),Data publisher,1,False,Cornell Lab of Ornithology,"GBIF; The Global Biodiversity Information Facility, the publisher of the data.",0.13333333333333333,0.16666666666666663,-1
GPT4,LTER-LIFE,Pre,https://www.gbif.org/dataset/74196cd9-7ebc-4b20-bc27-3c2d22e31ed7,gbif.org,GBIF,Waterleidingduinen camera trap P1 (GBIF),Data publisher,1,False,University of Amsterdam / IBED,Camera trap data recorded during pilot studies in the Amsterdamse Waterleidingduinen - pilot 1; The data is published by the University of Amsterdam / IBED,0.29629629629629634,0.19354838709677424,-1
GPT4,LTER-LIFE,Pre,https://www.gbif.org/dataset/f9ba3c2e-0636-4f66-a4b5-b8c138046e9e,gbif.org,GBIF,Waterleidingduinen camera trap P2 (GBIF),Data publisher,1,False,University of Amsterdam / IBED,University of Amsterdam / IBED; The publisher of the dataset,0.6153846153846153,0.5,-1
GPT4,LTER-LIFE,Pre,https://www.gbif.org/dataset/bc0acb9a-131f-4085-93ae-a46e08564ac5,gbif.org,GBIF,Waterleidingduinen camera trap P3 (GBIF),Data publisher,1,False,University of Amsterdam / IBED,Camera trap data recorded during pilot studies in the Amsterdamse Waterleidingduinen - pilot 3; The data publisher is the University of Amsterdam / IBED.,0.3076923076923077,0.196078431372549,-1
GPT4,LTER-LIFE,Pre,https://zenodo.org/records/11440456,zenodo.org,Zenodo,Waterleidingduinen camera trap P1-3 (Zenodo),Data publisher,1,False,Zenodo,Repository of camera trap data recorded during three pilot studies of the Amsterdamse Waterleidingduinen; The data publisher is Zenodo,0.1,0.04477611940298509,-1
GPT4,LTER-LIFE,Pre,https://zenodo.org/records/8319440,zenodo.org,Zenodo,Downscaled LUH2 land use scenarios for Belgium (Zenodo),Data publisher,1,False,Zenodo,High spatial resolution dataset of downscaled LUH2 land use scenarios for Belgium (10 m and 100 m); The publisher of the data is Zenodo,0.07999999999999999,0.0444444444444444,-1
GPT4,LTER-LIFE,Pre,https://datahuiswadden.openearth.nl/geonetwork/srv/api/records/A0h06_NlSEuNlium5OO3FA,datahuiswadden.openearth.nl,Datahuis Wadden,Ecotopenkaart 2016 (Datahuis Wadden),Description,1,False,"For the proper management of areas such as the Wadden Sea, a consistent and unambiguous insight into the changes in the various landscape units is of great importance. One of the ways to make changes in ecosystems and landscapes visible is with ecotope maps. Ecotopes are “spatially delimited ecological units, the composition and development of which are determined by abiotic, biotic and anthropogenic conditions on site. An ecotope is a recognizable, more or less homogeneous landscape unit.” (Bouma et al., 2005). Ecotope maps are derived from a number of underlying maps of mainly physical factors, which together determine the characteristics of an ecotope. In the Netherlands, the RijksWateren-EcotopenStelsel (RWES) developed by Rijkswaterstaat is used, which has been elaborated for salt waters in the Zoute wateren EcotopenStelsel.",N/A,0.015503875968992248,0.0011890606420927874,-1
GPT4,LTER-LIFE,Pre,https://datahuiswadden.openearth.nl/geonetwork/srv/eng/catalog.search#/metadata/0fe7e64b-50b3-4cee-b64a-02659fc2b6c7,datahuiswadden.openearth.nl,Datahuis Wadden,Waddenbalans 2024 (Datahuis Wadden),Description,1,False,"The three Wadden provinces – North Holland, Friesland and Groningen – jointly present the Wadden Balance 2024. This periodic socio-economic monitor provides an up-to-date picture of the broad prosperity and economic activities in the Wadden area. The results show that the broad prosperity in the region differs between the Wadden Islands, port municipalities and coastal municipalities. The Wadden Balance focuses on 14 municipalities in the Wadden area with a total of more than 460,000 inhabitants. The monitor was drawn up by Het PON & Telos, commissioned by the Wadden provinces and in consultation with the Wadden municipalities and the Ministry of LVVN. The monitor uses reliable, regularly available data. Themes such as health, income, well-being, mobility and social cohesion are made clear and compared with national trends for the Wadden area.",N/A,0.014814814814814812,0.0011695906432748204,-1
GPT4,LTER-LIFE,Pre,https://datahuiswadden.openearth.nl/geonetwork/srv/eng/catalog.search#/metadata/L-mHomzGRuKAHGMkUPjY9g,datahuiswadden.openearth.nl,Datahuis Wadden,Ecotopenkaart 2017 (Datahuis Wadden),Description,1,False,"An ecotope is an ecomorphological, landscape mappable unit. The ecotope system is classified based on the criteria height, current velocity, wave height, drying period, geomorphology, salinity and sediment composition. With the ecotope classification, gradual transitions in these variables are converted into discrete, mappable units. Changes in ecologically relevant changes in current velocity etc. are thus clearly quantifiable and can be used for explorations, planning studies and evaluations of construction and management.","Ecotopenkaart Waddenzee 2017; The dataset 'Ecotopenkaart Waddenzee 2017' represents an ecomorphological, landscape mappable unit.",0.11764705882352941,0.16981132075471694,-1
